ID,Month,Day,minmax,Date,Level(m)
01AD004,10,19,min,1980-10-19,134.34801000000002
01AD004,10,19,max,2019-10-19,135.90401
01AD004,10,20,min,1980-10-20,134.34399
01AD004,10,20,max,2019-10-20,136.19298999999998
01AD004,10,21,min,1980-10-21,134.41901
01AD004,10,21,max,2019-10-21,136.47301000000002
01AD004,10,22,min,1980-10-22,134.46201000000002
01AD004,10,22,max,2019-10-22,137.51601000000002
01AD004,10,23,min,1980-10-23,134.465
01AD004,10,23,max,2019-10-23,137.696
01AD004,10,24,min,1980-10-24,134.435
01AD004,10,24,max,2019-10-24,137.172
01AD004,10,25,min,1980-10-25,134.459
01AD004,10,25,max,2019-10-25,137.08
01AD004,10,26,min,1980-10-26,134.491
01AD004,10,26,max,2019-10-26,137.23199
01AD004,10,27,min,1980-10-27,134.50999
01AD004,10,27,max,2019-10-27,137.131
01AD004,10,28,min,1980-10-28,134.502
01AD004,10,28,max,2019-10-28,137.314
